exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
1,ref_non,ref,non,1,компас,Y,Y1,,3,
1,ref_non,ref,non,25,сейф,Y,Y1,сейф,1,2506
1,ref_non,ref,non,2,карета,Y,Y1,карета,1,1133
1,ref_non,ref,non,37,шашлык,Y,Y1,шашлык,1,1112
1,ref_non,ref,non,33,копилка,Y,Y1,копилка,1,1450
1,ref_non,ref,non,38,радуга,Y,Y1,радуга,1,953
1,ref_non,ref,non,12,шланг,Y,Y1,шланг,1,1958
1,ref_non,ref,non,48,сачок,Y,Y1,сачок,1,6666
1,ref_non,ref,non,52,перо,Y,Y1,перо,1,848
1,ref_non,ref,non,60,фотоаппарат,Y,Y1,фотоаппарат,1,1837
1,ref_non,ref,non,65,корсет,Y,Y1,корсет,1,1095
1,ref_non,ref,non,67,пружина,Y,Y1,пружина,1,1303
1,ref_non,ref,non,77,дуршлаг,Y,Y1,дуршлаг,1,3044
1,ref_let,ref,let,18,слон,Y,Y1,слон,1,805
1,ref_let,ref,let,7,пепельница,Y,Y1,пепельница,1,1767
1,ref_let,ref,let,17,верблюд,Y,Y1,верблюд,1,2558
1,ref_let,ref,let,20,календарь,Y,Y1,календарь,1,1749
1,ref_let,ref,let,29,багажник,Y,Y1,багажник,1,5582
1,ref_let,ref,let,41,жалюзи,Y,Y1,жалюзи,1,1459
1,ref_let,ref,let,39,ракетка,Y,Y1,ракетка,1,1131
1,ref_let,ref,let,46,шахматы,Y,Y1,шахматы,1,1235
1,ref_let,ref,let,50,степлер,Y,Y1,степлер,1,21850
1,ref_let,ref,let,59,автобус,Y,Y1,автобус,1,1816
1,ref_let,ref,let,64,страус,Y,Y1,страус,1,4916
1,ref_let,ref,let,69,мочалка,Y,Y1,мочалка,1,1778
1,ref_let,ref,let,75,самокат,Y,Y1,самокат,1,1224
1,ref_col,ref,col,10,коридор,Y,Y1,коридор,1,1263
1,ref_col,ref,col,3,глобус,Y,Y1,глобус,1,13154
1,ref_col,ref,col,11,подбородок,Y,Y1,подбородок,1,2025
1,ref_col,ref,col,21,трон,Y,Y1,трон,1,6524
1,ref_col,ref,col,26,форточка,Y,Y1,форточка,1,5511
1,ref_col,ref,col,27,намордник,Y,Y1,намордник,1,1330
1,ref_col,ref,col,42,салфетка,Y,Y1,салфетка,1,4253
1,ref_col,ref,col,43,водопад,Y,Y1,водопад,1,1228
1,ref_col,ref,col,51,иллюминатор,Y,Y1,иллюминатор,1,4692
1,ref_col,ref,col,53,наручники,Y,Y1,наручники,1,1053
1,ref_col,ref,col,66,кенгуру,Y,Y1,кенгуру,1,1259
1,ref_col,ref,col,68,удочка,Y,Y1,удочка,1,2166
1,ref_col,ref,col,76,антенна,Y,Y1,связь,0,
1,inf_non,inf,non,13,перекресток,Y,Y1,перекресток,1,1348
1,inf_non,inf,non,9,шлагбаум,Y,Y1,шлагбаум,1,5116
1,inf_non,inf,non,15,венок,Y,Y1,венок,1,933
1,inf_non,inf,non,23,маяк,Y,Y1,маяк,1,2384
1,inf_non,inf,non,28,термос,Y,Y1,кастрюля,0,
1,inf_non,inf,non,32,якорь,Y,Y1,якорь,1,1518
1,inf_non,inf,non,34,шишка,Y,Y1,шишка,1,1037
1,inf_non,inf,non,47,фартук,Y,Y1,фартук,1,1565
1,inf_non,inf,non,49,троллейбус,Y,Y1,троллейбус,1,3952
1,inf_non,inf,non,57,осьминог,Y,Y1,осьминог,1,1427
1,inf_non,inf,non,56,череп,Y,Y1,шея,2,2119
1,inf_non,inf,non,72,выключатель,Y,Y1,выключатель,1,1536
1,inf_non,inf,non,78,метла,Y,Y1,метла,1,11272
1,inf_let,inf,let,5,акула,Y,Y1,акула,1,810
1,inf_let,inf,let,4,официант,Y,Y1,официант,1,1631
1,inf_let,inf,let,16,скалка,Y,Y1,скалка,1,1068
1,inf_let,inf,let,22,парашют,Y,Y1,парашют,1,1517
1,inf_let,inf,let,30,телескоп,Y,Y1,телескоп,1,2084
1,inf_let,inf,let,36,жираф,Y,Y1,жираф,1,1170
1,inf_let,inf,let,44,фонтан,Y,Y1,фонтан,1,1016
1,inf_let,inf,let,45,кроссворд,Y,Y1,кроссворд,1,9739
1,inf_let,inf,let,54,кактус,Y,Y1,кактус,1,1525
1,inf_let,inf,let,55,стадион,Y,Y1,стадион,1,1734
1,inf_let,inf,let,61,кобура,Y,Y1,кобура,1,5243
1,inf_let,inf,let,71,мельница,Y,Y1,мельница,1,3608
1,inf_let,inf,let,74,палитра,Y,Y1,палитра,1,1251
1,inf_col,inf,col,8,невеста,Y,Y1,невеста,1,1182
1,inf_col,inf,col,35,шприц,Y,Y1,шприц,1,1784
1,inf_col,inf,col,6,аквариум,Y,Y1,аквариум,1,1480
1,inf_col,inf,col,24,кастрюля,Y,Y1,кастрюля,1,4701
1,inf_col,inf,col,14,иероглиф,Y,Y1,иероглиф,1,1934
1,inf_col,inf,col,19,точилка,Y,Y1,точилка,1,1732
1,inf_col,inf,col,31,черепаха,Y,Y1,черепаха,1,2048
1,inf_col,inf,col,40,бинокль,Y,Y1,бинокль,1,1325
1,inf_col,inf,col,58,кепка,Y,Y1,кепка,2,4841
1,inf_col,inf,col,62,прищепка,Y,Y1,скрепка,0,
1,inf_col,inf,col,63,трамвай,Y,Y1,трамвай,1,1549
1,inf_col,inf,col,70,микрофон,Y,Y1,микрофон,1,1767
1,inf_col,inf,col,73,камин,Y,Y1,камин,1,12054
